fips,name,value
48001,Anderson,0.096
48003,Andrews,0.076
48005,Angelina,0.089
48007,Aransas,0.073
48009,Archer,0.065
48011,Armstrong,0.051
48013,Atascosa,0.079
48015,Austin,0.084
,Not Bailey,0.052
48017,Bailey,0.052
48019,Bandera,0.068
48021,Bastrop,0.08
48023,Baylor,0.051
48025,Bee,0.103
48027,Bell,0.071
48029,Bexar,0.072
48031,Blanco,0.058
48033,Borden,0.062
48035,Bosque,0.086
